,sigma,lambda,Number of support vectors,MSE increase
0,0.001,1,159,0.0
1,0.001,1,158,0.0
2,0.001,1,157,0.0
3,0.001,1,156,0.0
4,0.001,1,155,0.0
5,0.001,1,154,0.0
6,0.001,1,153,0.0
7,0.001,1,152,0.0
8,0.001,1,151,0.0
9,0.001,1,150,0.0
10,0.001,1,149,0.0
11,0.001,1,148,0.0
12,0.001,1,147,0.0
13,0.001,1,146,0.0
14,0.001,1,145,0.0
15,0.001,1,144,0.0
16,0.001,1,143,0.0
17,0.001,1,142,0.0
18,0.001,1,141,0.0
19,0.001,1,140,0.0
20,0.001,1,139,0.0
21,0.001,1,138,0.0
22,0.001,1,137,0.0
23,0.001,1,136,0.0
24,0.001,1,135,0.0
25,0.001,1,134,0.0
26,0.001,1,133,0.0
27,0.001,1,132,0.0
28,0.001,1,131,0.0
29,0.001,1,130,0.0
30,0.001,1,129,0.0
31,0.001,1,128,0.0
32,0.001,1,127,0.0
33,0.001,1,126,0.0
34,0.001,1,125,0.0
35,0.001,1,124,0.0
36,0.001,1,123,0.0
37,0.001,1,122,0.0
38,0.001,1,121,0.0
39,0.001,1,120,0.0
40,0.001,1,119,0.0
41,0.001,1,118,0.0
42,0.001,1,117,0.0
43,0.001,1,116,0.0
44,0.001,1,115,0.0
45,0.001,1,114,0.0
46,0.001,1,113,0.0
47,0.001,1,112,0.0
48,0.001,1,111,0.0
49,0.001,1,110,0.0
50,0.001,1,109,0.0
51,0.001,1,108,0.0
52,0.001,1,107,0.0
53,0.001,1,106,0.0
54,0.001,1,105,0.0
55,0.001,1,104,0.0
56,0.001,1,103,0.0
57,0.001,1,102,0.0
58,0.001,1,101,0.0
59,0.001,1,100,0.0
60,0.001,1,99,0.0
61,0.001,1,98,0.0
62,0.001,1,97,0.0
63,0.001,1,96,0.0
64,0.001,1,95,0.0
65,0.001,1,94,0.0
66,0.001,1,93,0.0
67,0.001,1,92,0.0
68,0.001,1,91,0.0
69,0.001,1,90,0.0
70,0.001,1,89,0.0
71,0.001,1,88,0.0
72,0.001,1,87,0.0
73,0.001,1,86,0.0
74,0.001,1,85,0.0
75,0.001,1,84,0.0
76,0.001,1,83,0.0
77,0.001,1,82,0.0
78,0.001,1,81,0.0
79,0.001,1,80,0.0
80,0.001,1,79,0.0
81,0.001,1,78,0.0
82,0.001,1,77,0.0
83,0.001,1,76,0.0
84,0.001,1,75,0.0
85,0.001,1,74,0.0
86,0.001,1,73,0.0
87,0.001,1,72,0.0
88,0.001,1,71,0.0
89,0.001,1,70,0.0
90,0.001,1,69,0.0
91,0.001,1,68,0.0
92,0.001,1,67,0.0
93,0.001,1,66,0.0
94,0.001,1,65,0.0
95,0.001,1,64,0.0
96,0.001,1,63,0.0
97,0.001,1,62,0.0
98,0.001,1,61,0.0
99,0.001,1,60,0.0
100,0.001,1,59,0.0
101,0.001,1,58,0.0
102,0.001,1,57,0.0
103,0.001,1,56,0.0
104,0.001,1,55,0.0
105,0.001,1,54,0.0
106,0.001,1,53,0.0
107,0.001,1,52,0.0
108,0.001,1,51,0.0
109,0.001,1,50,0.0
110,0.001,1,49,0.0
111,0.001,1,48,0.0
112,0.001,1,47,0.0
113,0.001,1,46,0.0
114,0.001,1,45,0.0
115,0.001,1,44,0.0
116,0.001,1,43,0.0
117,0.001,1,42,0.0
118,0.001,1,41,0.0
119,0.001,1,40,0.0
120,0.001,1,39,0.0
121,0.001,1,38,0.0
122,0.001,1,37,0.0
123,0.001,1,36,0.0
124,0.001,1,35,0.0
125,0.001,1,34,0.0
126,0.001,1,33,0.0
127,0.001,1,32,0.0
128,0.001,1,31,0.0
129,0.001,1,30,0.0
130,0.001,1,29,0.0
131,0.001,1,28,0.0
132,0.001,1,27,0.0
133,0.001,1,26,0.0
134,0.001,1,25,0.0
135,0.001,1,24,0.0
136,0.001,1,23,0.0
137,0.001,1,22,0.0
138,0.001,1,21,0.0
139,0.001,1,20,0.0
140,0.001,1,19,0.0
141,0.001,1,18,0.0
142,0.001,1,17,0.0
143,0.001,1,16,0.0
144,0.001,1,15,0.0
145,0.001,1,14,0.0
146,0.001,1,13,0.0
147,0.001,1,12,0.0
148,0.001,1,11,0.0
149,0.001,1,10,0.0
150,0.001,1,9,0.0
151,0.001,1,8,0.0
152,0.001,1,7,0.0
153,0.001,1,6,0.0
154,0.001,1,5,0.0
155,0.001,1,4,0.0
156,0.001,1,3,0.0
157,0.001,1,2,0.0
158,0.001,1,1,0.0
0,0.001,11.421052631578947,159,0.0
1,0.001,11.421052631578947,158,0.0
2,0.001,11.421052631578947,157,0.0
3,0.001,11.421052631578947,156,0.0
4,0.001,11.421052631578947,155,0.0
5,0.001,11.421052631578947,154,0.0
6,0.001,11.421052631578947,153,0.0
7,0.001,11.421052631578947,152,0.0
8,0.001,11.421052631578947,151,0.0
9,0.001,11.421052631578947,150,0.0
10,0.001,11.421052631578947,149,0.0
11,0.001,11.421052631578947,148,0.0
12,0.001,11.421052631578947,147,0.0
13,0.001,11.421052631578947,146,0.0
14,0.001,11.421052631578947,145,0.0
15,0.001,11.421052631578947,144,0.0
16,0.001,11.421052631578947,143,0.0
17,0.001,11.421052631578947,142,0.0
18,0.001,11.421052631578947,141,0.0
19,0.001,11.421052631578947,140,0.0
20,0.001,11.421052631578947,139,0.0
21,0.001,11.421052631578947,138,0.0
22,0.001,11.421052631578947,137,0.0
23,0.001,11.421052631578947,136,0.0
24,0.001,11.421052631578947,135,0.0
25,0.001,11.421052631578947,134,0.0
26,0.001,11.421052631578947,133,0.0
27,0.001,11.421052631578947,132,0.0
28,0.001,11.421052631578947,131,0.0
29,0.001,11.421052631578947,130,0.0
30,0.001,11.421052631578947,129,0.0
31,0.001,11.421052631578947,128,0.0
32,0.001,11.421052631578947,127,0.0
33,0.001,11.421052631578947,126,0.0
34,0.001,11.421052631578947,125,0.0
35,0.001,11.421052631578947,124,0.0
36,0.001,11.421052631578947,123,0.0
37,0.001,11.421052631578947,122,0.0
38,0.001,11.421052631578947,121,0.0
39,0.001,11.421052631578947,120,0.0
40,0.001,11.421052631578947,119,0.0
41,0.001,11.421052631578947,118,0.0
42,0.001,11.421052631578947,117,0.0
43,0.001,11.421052631578947,116,0.0
44,0.001,11.421052631578947,115,0.0
45,0.001,11.421052631578947,114,0.0
46,0.001,11.421052631578947,113,0.0
47,0.001,11.421052631578947,112,0.0
48,0.001,11.421052631578947,111,0.0
49,0.001,11.421052631578947,110,0.0
50,0.001,11.421052631578947,109,0.0
51,0.001,11.421052631578947,108,0.0
52,0.001,11.421052631578947,107,0.0
53,0.001,11.421052631578947,106,0.0
54,0.001,11.421052631578947,105,0.0
55,0.001,11.421052631578947,104,0.0
56,0.001,11.421052631578947,103,0.0
57,0.001,11.421052631578947,102,0.0
58,0.001,11.421052631578947,101,0.0
59,0.001,11.421052631578947,100,0.0
60,0.001,11.421052631578947,99,0.0
61,0.001,11.421052631578947,98,0.0
62,0.001,11.421052631578947,97,0.0
63,0.001,11.421052631578947,96,0.0
64,0.001,11.421052631578947,95,0.0
65,0.001,11.421052631578947,94,0.0
66,0.001,11.421052631578947,93,0.0
67,0.001,11.421052631578947,92,0.0
68,0.001,11.421052631578947,91,0.0
69,0.001,11.421052631578947,90,0.0
70,0.001,11.421052631578947,89,0.0
71,0.001,11.421052631578947,88,0.0
72,0.001,11.421052631578947,87,0.0
73,0.001,11.421052631578947,86,0.0
74,0.001,11.421052631578947,85,0.0
75,0.001,11.421052631578947,84,0.0
76,0.001,11.421052631578947,83,0.0
77,0.001,11.421052631578947,82,0.0
78,0.001,11.421052631578947,81,0.0
79,0.001,11.421052631578947,80,0.0
80,0.001,11.421052631578947,79,0.0
81,0.001,11.421052631578947,78,0.0
82,0.001,11.421052631578947,77,0.0
83,0.001,11.421052631578947,76,0.0
84,0.001,11.421052631578947,75,0.0
85,0.001,11.421052631578947,74,0.0
86,0.001,11.421052631578947,73,0.0
87,0.001,11.421052631578947,72,0.0
88,0.001,11.421052631578947,71,0.0
89,0.001,11.421052631578947,70,0.0
90,0.001,11.421052631578947,69,0.0
91,0.001,11.421052631578947,68,0.0
92,0.001,11.421052631578947,67,0.0
93,0.001,11.421052631578947,66,0.0
94,0.001,11.421052631578947,65,0.0
95,0.001,11.421052631578947,64,0.0
96,0.001,11.421052631578947,63,0.0
97,0.001,11.421052631578947,62,0.0
98,0.001,11.421052631578947,61,0.0
99,0.001,11.421052631578947,60,0.0
100,0.001,11.421052631578947,59,0.0
101,0.001,11.421052631578947,58,0.0
102,0.001,11.421052631578947,57,0.0
103,0.001,11.421052631578947,56,0.0
104,0.001,11.421052631578947,55,0.0
105,0.001,11.421052631578947,54,0.0
106,0.001,11.421052631578947,53,0.0
107,0.001,11.421052631578947,52,0.0
108,0.001,11.421052631578947,51,0.0
109,0.001,11.421052631578947,50,0.0
110,0.001,11.421052631578947,49,0.0
111,0.001,11.421052631578947,48,0.0
112,0.001,11.421052631578947,47,0.0
113,0.001,11.421052631578947,46,0.0
114,0.001,11.421052631578947,45,0.0
115,0.001,11.421052631578947,44,0.0
116,0.001,11.421052631578947,43,0.0
117,0.001,11.421052631578947,42,0.0
118,0.001,11.421052631578947,41,0.0
119,0.001,11.421052631578947,40,0.0
120,0.001,11.421052631578947,39,0.0
121,0.001,11.421052631578947,38,0.0
122,0.001,11.421052631578947,37,0.0
123,0.001,11.421052631578947,36,0.0
124,0.001,11.421052631578947,35,0.0
125,0.001,11.421052631578947,34,0.0
126,0.001,11.421052631578947,33,0.0
127,0.001,11.421052631578947,32,0.0
128,0.001,11.421052631578947,31,0.0
129,0.001,11.421052631578947,30,0.0
130,0.001,11.421052631578947,29,0.0
131,0.001,11.421052631578947,28,0.0
132,0.001,11.421052631578947,27,0.0
133,0.001,11.421052631578947,26,0.0
134,0.001,11.421052631578947,25,0.0
135,0.001,11.421052631578947,24,0.0
136,0.001,11.421052631578947,23,0.0
137,0.001,11.421052631578947,22,0.0
138,0.001,11.421052631578947,21,0.0
139,0.001,11.421052631578947,20,0.0
140,0.001,11.421052631578947,19,0.0
141,0.001,11.421052631578947,18,0.0
142,0.001,11.421052631578947,17,0.0
143,0.001,11.421052631578947,16,0.0
144,0.001,11.421052631578947,15,0.0
145,0.001,11.421052631578947,14,0.0
146,0.001,11.421052631578947,13,0.0
147,0.001,11.421052631578947,12,0.0
148,0.001,11.421052631578947,11,0.0
149,0.001,11.421052631578947,10,0.0
150,0.001,11.421052631578947,9,0.0
151,0.001,11.421052631578947,8,0.0
152,0.001,11.421052631578947,7,0.0
153,0.001,11.421052631578947,6,0.0
154,0.001,11.421052631578947,5,0.0
155,0.001,11.421052631578947,4,0.0
156,0.001,11.421052631578947,3,0.0
157,0.001,11.421052631578947,2,0.0
158,0.001,11.421052631578947,1,0.0
0,0.01,1,159,0.0
1,0.01,1,158,0.0
2,0.01,1,157,0.0
3,0.01,1,156,-2.2737367544323206e-13
4,0.01,1,155,-2.2737367544323206e-13
5,0.01,1,154,-2.2737367544323206e-13
6,0.01,1,153,-2.2737367544323206e-13
7,0.01,1,152,-2.2737367544323206e-13
8,0.01,1,151,-2.2737367544323206e-13
9,0.01,1,150,1.4274095505584228e-06
10,0.01,1,149,1.4274095505584228e-06
11,0.01,1,148,0.00023509390332066005
12,0.01,1,147,0.00023509390332066005
13,0.01,1,146,0.00023509390332066005
14,0.01,1,145,0.00023509390332066005
